V_gen,V_med1,V_med2
0.852,183.0,185.0
0.855,186.0,182.0
0.857,181.0,184.0
0.86,181.0,177.0
0.862,180.0,183.0
0.865,181.0,186.0
0.867,185.0,184.0
0.87,181.0,183.0
0.872,183.0,181.0
0.874,185.0,183.0
0.877,188.0,190.0
0.879,191.0,187.0
0.882,192.0,187.0
0.884,189.0,193.0
0.887,192.0,195.0
0.889,197.0,197.0
0.892,200.0,202.0
0.894,201.0,194.0
0.896,204.0,198.0
0.899,200.0,201.0
0.901,195.0,196.0
0.904,198.0,198.0
0.906,197.0,192.0
0.909,196.0,192.0
0.911,199.0,193.0
0.914,195.0,191.0
0.916,191.0,195.0
0.918,191.0,195.0
0.921,198.0,196.0
0.923,195.0,194.0
0.926,198.0,197.0
0.928,196.0,194.0
0.931,199.0,195.0
0.933,198.0,203.0
0.936,205.0,204.0
0.938,207.0,204.0
0.94,206.0,209.0
0.943,210.0,209.0
0.945,214.0,211.0
0.948,214.0,212.0
0.95,213.0,211.0
0.953,209.0,211.0
0.955,217.0,212.0
0.957,215.0,212.0
0.96,206.0,205.0
0.962,204.0,207.0
0.965,204.0,203.0
0.967,204.0,203.0
0.97,205.0,205.0
0.972,203.0,201.0
0.975,204.0,202.0
0.977,203.0,205.0
0.979,209.0,208.0
0.982,206.0,209.0
0.984,206.0,210.0
0.987,211.0,208.0
0.989,215.0,211.0
0.992,212.0,216.0
0.994,213.0,217.0
0.997,216.0,221.0
0.999,220.0,222.0
1.001,222.0,220.0
1.004,226.0,220.0
1.006,226.0,226.0
1.009,227.0,221.0
1.011,225.0,221.0
1.014,220.0,223.0
1.016,220.0,217.0
1.019,215.0,216.0
1.021,219.0,220.0
1.023,221.0,219.0
1.026,214.0,214.0
1.028,219.0,219.0
1.031,219.0,221.0
1.033,218.0,221.0
1.036,219.0,221.0
1.038,218.0,221.0
1.041,219.0,225.0
1.043,220.0,219.0
1.045,225.0,222.0
1.048,227.0,225.0
1.05,228.0,226.0
1.053,233.0,228.0
1.055,235.0,233.0
1.058,236.0,237.0
1.06,235.0,233.0
1.063,238.0,234.0
1.065,234.0,234.0
1.067,237.0,236.0
1.07,232.0,233.0
1.072,235.0,229.0
1.075,228.0,232.0
1.077,229.0,228.0
1.08,231.0,230.0
1.082,230.0,232.0
1.085,233.0,226.0
1.087,227.0,232.0
1.089,232.0,227.0
1.092,228.0,232.0
1.094,234.0,232.0
1.097,235.0,236.0
1.099,233.0,240.0
1.102,235.0,241.0
1.104,240.0,242.0
1.106,244.0,246.0
1.109,245.0,248.0
1.111,243.0,243.0
1.114,244.0,249.0
1.116,244.0,245.0
1.119,248.0,251.0
1.121,250.0,247.0
1.124,244.0,239.0
1.126,241.0,243.0
1.128,241.0,239.0
1.131,241.0,244.0
1.133,242.0,244.0
1.136,239.0,238.0
1.138,242.0,239.0
1.141,239.0,246.0
1.143,243.0,242.0
1.146,242.0,245.0
1.148,249.0,249.0
1.15,244.0,245.0
1.153,248.0,251.0
1.155,255.0,251.0
1.158,250.0,252.0
1.16,255.0,258.0
1.163,256.0,259.0
1.165,259.0,258.0
1.168,262.0,256.0
1.17,260.0,260.0
1.172,256.0,259.0
1.175,255.0,252.0
1.177,254.0,253.0
1.18,251.0,254.0
1.182,255.0,252.0
1.185,250.0,253.0
1.187,254.0,250.0
1.19,253.0,252.0
1.192,252.0,251.0
1.194,256.0,253.0
1.197,253.0,254.0
1.199,260.0,258.0
1.202,262.0,260.0
1.204,263.0,260.0
1.207,262.0,264.0
1.209,263.0,266.0
1.212,267.0,268.0
1.214,268.0,270.0
1.216,270.0,267.0
1.219,268.0,273.0
1.221,273.0,266.0
1.224,270.0,267.0
1.226,269.0,267.0
1.229,264.0,263.0
1.231,265.0,268.0
1.234,264.0,264.0
1.236,267.0,264.0
1.238,263.0,263.0
1.241,262.0,268.0
1.243,263.0,263.0
1.246,261.0,267.0
1.248,270.0,263.0
1.251,268.0,269.0
1.253,270.0,267.0
1.255,268.0,273.0
1.258,271.0,277.0
1.26,277.0,273.0
1.263,279.0,280.0
1.265,277.0,277.0
1.268,280.0,285.0
1.27,283.0,280.0
1.273,285.0,283.0
1.275,281.0,279.0
1.277,279.0,281.0
1.28,278.0,279.0
1.282,282.0,282.0
1.285,279.0,277.0
1.287,277.0,279.0
1.29,276.0,281.0
1.292,274.0,274.0
1.295,281.0,280.0
1.297,279.0,274.0
1.299,280.0,277.0
1.302,277.0,274.0
1.304,280.0,280.0
1.307,283.0,276.0
1.309,281.0,280.0
1.312,277.0,284.0
1.314,280.0,287.0
1.317,279.0,287.0
1.319,285.0,287.0
1.321,285.0,290.0
1.324,287.0,288.0
1.326,294.0,292.0
1.329,295.0,295.0
1.331,292.0,295.0
1.334,295.0,295.0
1.336,295.0,298.0
1.339,297.0,297.0
1.341,294.0,296.0
1.343,302.0,295.0
